,bm25,pln,simple,tfidf
0,"(u'Furniture_of_America_Knox_Dark_Espresso_Storage_Box_Coffee_Table', 31.54383039702962)","(u'Favorite_Finds_Rustic_Oak_and_Slate_Tile_Recliner_Wedge', nan)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 12)","(u'Furniture_of_America_Tepekiie_Two-side_Open_Coffee_Table', 46.35492852869621)"
1,"(u'Furniture_of_America_Tepekiie_Two-side_Open_Coffee_Table', 31.537736227111029)","(u'Simple_Living_Alexa_Round_Pedestal_Dining_Table', nan)","(u'Furniture_of_America_Tepekiie_Two-side_Open_Coffee_Table', 10)","(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 31.007720598907206)"
2,"(u'Red_Iron_and_Reclaimed_Wood_Coffee_Table', 25.453028136529987)","(u'Christopher_Knight_Home_Lucinda_Faux_Leather_Storage_Ottoman_Bench', nan)","(u'Altra_Round_Espresso_End_Table', 7)","(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 29.81078636628075)"
3,"(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 23.891283967171109)","(u'Simple_Living_Tempered_Glass_Chrome_Round_Dining_Table', nan)","(u'Furniture_of_America_Charlotte_Rustic_Glass_Top_Coffee_Table', 7)","(u'Kosas_Home_Carolina_Mocha_Coffee_Table', 27.22680964970515)"
4,"(u'Kosas_Home_Carolina_Mocha_Coffee_Table', 22.069249102919084)","(u'Isabella_Gathering_Table', nan)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 7)","(u'Furniture_of_America_Carpenter_Rustic_Weathered_Oak_Caster_Wheel_Coffee_Table', 27.22680964970515)"
5,"(u'Idris_Dark_Sheesham_Solid_Wood_Coffee_Table', 22.069249102919084)","(u'Cosco_6-foot_Center_Fold_Table', nan)","(u'Furniture_of_America_Knox_Dark_Espresso_Storage_Box_Coffee_Table', 7)","(u'Furniture_of_America_Wakiaka_Unique_Pagoda_Coffee_Table', 27.22680964970515)"
6,"(u'Furniture_of_America_Carpenter_Rustic_Weathered_Oak_Caster_Wheel_Coffee_Table', 22.069249102919084)","(u""White_'S'_Chair_(Set_of_2)"", nan)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 6)","(u'Furniture_of_America_Knox_Dark_Espresso_Storage_Box_Coffee_Table', 23.949311691154975)"
7,"(u'Safavieh_Corey_Antique_Copper_Coffee_Table', 22.069249102919084)","(u'Kosas_Home_60-inch_Denso_Round_Wood_Dining_Table', nan)","(u'Kosas_Home_Carolina_Mocha_Coffee_Table', 6)","(u'Altra_Round_Espresso_End_Table', 21.01857435359209)"
8,"(u'Furniture_of_America_Wakiaka_Unique_Pagoda_Coffee_Table', 22.069249102919084)","(u'TRIBECCA_HOME_Mackenzie_Round_Country_Antique_White_Dining_Table', nan)","(u'Furniture_of_America_Carpenter_Rustic_Weathered_Oak_Caster_Wheel_Coffee_Table', 6)","(u'Christopher_Knight_Home_Outdoor_Antibes_5-piece_Wicker_Chat_Set_with_Cushions', 18.781358258003777)"
9,"(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 20.769213055128247)","(u'Somette_Liberty_Light_Oak_2-piece_Dining_Set', nan)","(u'Tokyo_Drop_Leaf_Rectangle_Dining_Table', 6)","(u'Bailey_Chairside_Table', 18.781358258003777)"
10,"(u'Greek_Key_Silver_Dining_Table', 18.231378779920064)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 0.68738805854097207)","(u'Furniture_of_America_Wakiaka_Unique_Pagoda_Coffee_Table', 6)","(u'angelo:HOME_Hillgate_5_Piece_Dining_Set_in_Antique_Burnt_Oak', 18.087837016029205)"
11,"(u""'Alicia'_60-inch_Sheesham_Wood_Bench"", 18.231378779920064)","(u'Magnussen_D2471_Karlin_Wood_Round_Dining_Table_with_Wood_Top', nan)","(u'Simple_Living_Rubberwood_Farmhouse_Table', 5)","(u'Furniture_of_America_5-shelf_Shoe_Cabinet_with_Two_Upper_Storage_Bins', 16.54414216241546)"
12,"(u'Renate_Desk_in_Coffee_Finish', 17.331958455863816)","(u'Baxton_Studio_Greyson_Vintage_Industrial_Bronze_Wood_Desk', nan)","(u'Christopher_Knight_Home_Outdoor_Antibes_5-piece_Wicker_Chat_Set_with_Cushions', 5)","(u'Elements_Cross-design_Reclaimed_Look_Coffee_Table', 16.197381541428175)"
13,"(u'Christopher_Knight_Home_Outdoor_Antibes_5-piece_Wicker_Chat_Set_with_Cushions', 16.669634610561186)","(u'Aaron_French_Oak_Dining_Table_with_Extensions', nan)","(u'Bailey_Chairside_Table', 5)","(u'Red_Iron_and_Reclaimed_Wood_Coffee_Table', 16.197381541428175)"
14,"(u'Bailey_Chairside_Table', 16.669634610561186)","(u'Simple_Living_Layla_Black_Buffet', nan)","(u'Badger_Basket_Sleigh-style_White_Changing_Table', 5)","(u'angelo:HOME_Hillgate_Antique_Burnt_Oak_Rectangular_Dining_Table', 15.503860299453603)"
15,"(u'Altra_Round_Espresso_End_Table', 16.173618010012838)","(u'Kosas_Home_Carolina_Mocha_Coffee_Table', 1.7071757578249915)","(u'Soho_Live_Edge_Dining_Table', 5)","(u'Tokyo_Drop_Leaf_Rectangle_Dining_Table', 15.503860299453603)"
16,"(u'TRIBECCA_HOME_Mackenzie_Country_Dining_Table', 15.503860299453603)","(u'Weatherford_Weathered_Grey_Sofa_Table', nan)","(u'Signature_Design_by_Ashley_Ralene_Rectangular_Butterfly_Extension_Dining_Table', 5)","(u'Idris_Dark_Sheesham_Solid_Wood_Coffee_Table', 13.613404824852575)"
17,"(u'Christopher_Knight_Home_Lucinda_Faux_Leather_Storage_Ottoman_Bench', 14.847599746309161)","(u'Etlan_Black_1-Drawer_Corner_Table', nan)","(u'Greyson_Living_Hampton_Dark_Brown_Cherry_62-inch_Round_Dining_Table', 5)","(u'Safavieh_Corey_Antique_Copper_Coffee_Table', 13.613404824852575)"
18,"(u'Elements_Cross-design_Reclaimed_Look_Coffee_Table', 14.847599746309161)","(u'INSPIRE_Q_Ashland_36-inch_Print_Upholstered_Cocktail_Ottoman', 0.92557757846006494)","(u'Furniture_of_America_Briggs_Contemporary_Dark_Walnut_48-inch_Dining_Table', 5)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 13.266644203865289)"
19,"(u'Simple_Living_Rubberwood_Farmhouse_Table', 14.211871941165803)","(u'Somme_Rustic_Metal_Frame_Storage_Sofa_Table_TV_Stand', 0.43776738022381062)","(u'INSPIRE_Q_Huntington_Trestle_Baluster_Extending_Dining_Table', 5)","(u'Simple_Living_Rubberwood_Farmhouse_Table', 12.919883582878002)"
