,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 24.340216666005443)","('/home/wb/Documents/furniture/Baxton_Studio_New_Semester_Industrial_Vintage_Bookshelf', 2.5113810735832871)","(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 1.7550018835686259)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 9)","(u'Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 28.5412907744576)","('/home/wb/Documents/furniture/Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 2606.7188944203558)"
1,"(u'Barcelona_Faux_Leather_Reclining_Living_Room_Sofa', 21.49472811473931)","('/home/wb/Documents/furniture/Jacksonville_Black_Foldable_Futon_Sofa_Bed', 2.405458832700694)","(u'10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 1.6572099054457683)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 8)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 23.154196460562524)","('/home/wb/Documents/furniture/10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 510.26495726495727)"
2,"(u'Baxton_Studio_New_Semester_Industrial_Vintage_Bookshelf', 20.158590920511543)","('/home/wb/Documents/furniture/Lexington_Microfiber_Suede_Inner_Spring_Queen-size_Futon_Sofa_Bed_Sleeper', 2.2722587198260946)","(u'Lexington_Microfiber_Suede_Inner_Spring_Queen-size_Futon_Sofa_Bed_Sleeper', 1.5131115443238243)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 8)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 23.154196460562524)","('/home/wb/Documents/furniture/DHP_Emily_Grey_Linen_Convertible_Futon', 510.26495726495727)"
3,"(u'White_Reclining_Sofa', 18.350150060227293)","('/home/wb/Documents/furniture/Anolon_Advanced_Bronze_Collection_Nonstick_11-piece_Cookware_Set', 2.2442102901874255)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 1.4822867940390108)","(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 7)","(u'Serta_RTA_Martinique_Collection_78-inch_Navarre_Beige_Fabric_Sofa', 22.185976541898718)","('/home/wb/Documents/furniture/Jacksonville_Black_Foldable_Futon_Sofa_Bed', 510.26495726495727)"
4,"(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 18.346548356863483)","('/home/wb/Documents/furniture/DHP_Emily_Grey_Linen_Convertible_Futon', 2.060087295457202)","(u'Jacksonville_Black_Foldable_Futon_Sofa_Bed', 1.3121739533030177)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 7)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 21.548377255580313)","('/home/wb/Documents/furniture/Lexington_Microfiber_Suede_Inner_Spring_Queen-size_Futon_Sofa_Bed_Sleeper', 510.26495726495727)"
5,"(u'INSPIRE_Q_Winslow_Concave_Arm_Modern_Sofa', 17.954358208555014)","(""/home/wb/Documents/furniture/Ready2HangArt_'Saddle_Ink_Elephant_VI'_Canvas_Wall_Art"", 2.0572798209281054)","(u'Ralston_Bonded_Leather_Reclining_Sofa', 1.2400321369073053)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 7)","(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 20.06214974966598)","('/home/wb/Documents/furniture/Portfolio_Rockford_Green_Microsuede_SoFast_Sofa', 510.26495726495727)"
6,"(u'TRIBECCA_HOME_Knightsbridge_Linen_Tufted_Scroll_Arm_Chesterfield_Loveseat', 17.027928723439015)","('/home/wb/Documents/furniture/Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 2.01178896078684)","(u'DHP_Emily_Grey_Linen_Convertible_Futon', 1.2143819751801601)","(u'Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 7)","(u'Christopher_Knight_Home_Outdoor_Puerta_5-piece_Wicker_Sectional_Sofa_Set_with_Cushions', 18.934530009422573)","('/home/wb/Documents/furniture/Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 510.26495726495727)"
7,"(u'Ralston_Bonded_Leather_Reclining_Sofa', 16.930867843670242)","('/home/wb/Documents/furniture/10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 1.9992408034489415)","(u'Portfolio_Taya_Basil_Grey_SoFast_Sofa', 1.2143819751801601)","(u'Lexington_Microfiber_Suede_Inner_Spring_Full-size_Futon_Sofa_Bed_Sleeper', 6)","(u'Furniture_of_America_Cosbin_Bold_Antique_Black_3-drawer_Sofa_Table', 18.934530009422573)","('/home/wb/Documents/furniture/Taylor_Perfect_Sit_and_Sleep_Transitional_Pocketed_Coil_Pillow_Top_Futon_Chair_or_Sofa_Sleeper_Bed', 510.26495726495727)"
8,"(u'Meridian_Gramercy_Reclining_Sofa_with_Plush_Pillow_Arms', 16.930867843670242)","('/home/wb/Documents/furniture/Select_Luxury_Reversible_4-inch_Queen-size_Foam_Sofa_Bed_Sleeper_Mattress', 1.9738803310548358)","(u'ABBYSON_LIVING_Bella_Black_PU_Leather_Sectional', 1.0104527423180356)","(u'Greyson_Living_Monoco_Leather_Chairs_(Set_of_2)', 6)","(u'10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 17.28890268192864)","('/home/wb/Documents/furniture/Baxton_Studio_New_Semester_Industrial_Vintage_Bookshelf', 447.8503827418233)"
9,"(u'10-inch_Loft_Full-size_Inner_Spring_Splendor_Futon_Mattress', 16.391053629612795)","('/home/wb/Documents/furniture/Portfolio_Rockford_Green_Microsuede_SoFast_Sofa', 1.9019697918011749)","(u'ABBYSON_LIVING_Newport_Double_Cushion_Convertible_Sofa', 0.93709141825927433)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 6)","(u'Jacksonville_Ash_Premium_Fabric_Foldable_Futon_Sleeper_Sofa_Bed', 16.639482406424037)","('/home/wb/Documents/furniture/Anolon_Advanced_Bronze_Collection_Nonstick_11-piece_Cookware_Set', 87.666666666666671)"
